product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Granola chocolat noir - faible en sucre,Jordans,a,France,3.8,16.9,0.03,3.8,460.0
Bran flakes M&S,M&S,a,Ireland,11.0,16.0,0.28,0.5,359.0
Wheat Bisks,Asda,a,Royaume-Uni,4.4,10.0,0.28,0.6,358.0
Corn Flakes,Nestle,c,en:gb,6.0,2.66666666666667,0.6,0.333333333333333,386.66666667
muesli superfruits,Bjorg,a,France,14.0,9.6,0.03,1.0,357.0
Müsli Multifrucht,Crownfield,b,France,20.0,9.4,0.06,1.8,346.0
Céréales Extra Pepites Kellogg's Choco Noisettes,Kellogg's,e,France,21.0,5.8,0.63,12.0,497.0
My Kids,Cheerios,c,United States,5.12820512820513,10.2564102564103,1.21794871794872,1.28205128205128,358.974358974359
Copos tostados de trigo integral y arroz con chocolate,Hacendado,c,Portugal,20.0,9.1,0.29,3.9,397.0
Creamy superfast oats,Mornflake,a,France,1.0,11.5,0.025,1.25,367.5
Country Crisp 4 Noix,Jordans,c,France,18.0,6.1,0.03,2.6,465.0
NESTLE NESQUIK BIO Céréales 375g,Nestlé,c,Belgique,22.3,8.7,0.45,0.7,374.0
Cruesli miel et noisettes,Cruesli,b,Belgique,15.0,9.4,0.06,1.8,460.0
Nuts & seeds muesli,Tesco,a,Hong Kong,11.5,8.8,0.1,2.2,381.0
Chocodays,Hacendado,c,Spain,25.0,7.6,0.27,1.6,372.0
Früchte Hafer-Müsli,LIDL,c,Austria,24.7,8.4,0.01,1.7,341.0
FITNESS Cerealien,Nestlé,a,Austria,8.8,10.7,0.56,0.6,366.0
Kellogg's Tresor,Kellogg's,e,France,26.0,3.5,1.1,3.5,437.0
Cereales de chocolate y avellana,Hacendado,e,Spain,38.0,5.2,0.7875,2.5,429.0
SUPER SMOOTH PORRIDGE,TESCO,a,France,1.0,7.9,0.1,1.2,373.0
Special k chocolat au lait,Kellogg's,d,Belgique,21.0,5.3,0.67,2.5,410.0
Scottish Whole Rolled Oats,Sainsbury's,a,France,,,,,
Tropical Granola,Crownfield,c,France,16.8888888888889,8.88888888888889,0.0222222222222222,4.66666666666667,442.222222222222
Weetabix Chocolate 24s - Tesco imp,Weetabix,b,France,17.9,10.0,0.08,1.7,368.0
Granola Cinnamon & Pecan,Spoon,d,Vereinigtes Königreich,12.0,9.1,0.03,11.0,490.0
Crunchy Nut,Kellogg's,d,France,36.6666666666667,2.66666666666667,0.75,0.666666666666667,396.666666666667
Crisp rice,Harvest Morn,c,en:united-kingdom,5.0,1.66666666666667,0.525,0.333333333333333,386.666666666667
Muesli Crunchy fruits rouges,Crownfield,c,Finland,18.4,7.5,0.6875,2.6,453.0
Oh my crisp ! - Noix,JORDANS,b,en:fr,9.5,18.0,0.03,3.7,440.0
Apple & Blueberry Flavour,Quaker,d,Canada,58.3333333333333,7.22222222222222,0.555555555555556,1.11111111111111,377.777777777778
Céréales Extra Pepites Kellogg's Chocolat au lait,Kellogg's,e,France,25.0,4.9,0.68,10.0,484.0
Simply Granola,Sainsbury's,c,United Kingdom,15.7777777777778,6.44444444444444,0.0555555555555556,1.55555555555556,424.444444444444
Frosted wheats,Kellogg's,a,United Kingdom,17.0,9.0,0.03,0.6,364.0
Croustillant fruits rouges,Carrefour BIO,c,France,19.0,9.2,0.01,1.4,426.0
Flocons d avoine,javana,a,Morocco,1.3,9.1,0.02,1.42,378.0
Special k,Kellogg's,c,Italy,15.0,6.0,0.84,0.3,392.0
Frosties,Kellogg’s,d,en:United Kingdom,37.0,2.0,0.8175,0.1,375.0
Miel pops loops,Kellogg's,c,France,22.0,7.5,0.64,0.7,396.0
Choco crousti,Poulain,c,France,16.0,11.0,0.08,2.6,430.0
Muesli croustillant chocolat 500 g,Céréco,c,France,9.6,3.9,0.03,2.2,219.0
Country crisp bio Chocolat Noir,Jordans,d,France,19.1,6.0,0.03,4.3,451.0
Porridge Oats 1.5kg,Sainsbury's,a,France,1.1,8.3,0.01,1.0,363.0
Kellogg Bran Flakes,Kellogg's,b,France,14.0,17.0,0.658333333333333,0.333333333333333,356.666666666667
"Muesli 35 fruits, noix et graines",Carrefour BIO,b,Frankrijk,17.0,8.9,0.02,2.8,380.0
Plain Wheats,Kellogg's,a,United Kingdom,0.9,11.0,0.0,0.4,397.0
Muesli croustillant 3 noix,Bio Village,b,France,17.0,7.6,0.01,1.8,446.0
wheetos,Weetabix,c,en:United Kingdom,19.0,7.0,0.21,0.7,374.0
nesquick,Nestlé,d,France,24.0,7.33333333333333,1.08333333333333,0.666666666666667,380.0
Cruesli Chocolate,PepsiCo,c,Itália,16.3,10.0,0.4725,4.9,455.0
Granola,FUEL-10K,c,France,18.2,6.4,0.06,1.8,430.0
Crousti' Avoine Superfruits,Bjorg,b,France,13.0,10.0,0.1,2.1,418.0
Honey Cheerios,Nestlé,unknown,en:gb,22.3333333333333,9.0,,0.666666666666667,376.666666666667
Scottish porridge oats,Lidl,b,France,0.8,2.7,0.295,3.7,304.0
Crunchy Nut & Almond,Santé,d,France,22.0,4.57142857142857,0.000142857142857143,4.28571428571429,468.571428571429
quaker original,Quaker,a,Austria,6.88888888888889,6.88888888888889,0.333333333333333,1.77777777777778,364.444444444444
Muesli bio noix & graines,Jordans,a,France,6.3,8.7,0.03,2.3,427.0
Wholegrain Fruit & Fibre,Sainsbury's,c,United Kingdom,16.3333333333333,10.3333333333333,0.558333333333333,4.66666666666667,384.002549334
Forme & nature 440g,Chabrior,c,France,13.0,4.8,0.77,0.4,385.0
Céréales Granola Noix & Graines 350G,U,a,France,13.0,7.7,0.01,2.0,454.0
Special K Granola Chocolate,Kellogg's,c,gb,13.1111111111111,9.55555555555556,0.0222222222222222,4.0,468.888888888889
Multigrain Dino shape,Harvest Morn,a,United Kingdom,14.0,6.4,0.1175,0.3,375.0
Copos de Avena extra suaves,Brüggen,a,Alemania,0.7,10.0,0.02,1.3,375.0
Raisin & Almond Granola,Crownfield,c,France,19.3333333333333,6.66666666666667,0.0222222222222222,1.33333333333333,424.444444444444
Quaker Muesli Croustillant Myrtilles & baies de goji,Muesli Croustillant,b,France,14.0,14.0,0.26,1.2,402.0
Fruit'n Fibre,Kellogg's,d,France,24.0,9.0,1.0,3.5,380.0
Oatflakes,Santé,a,France,0.9,6.9,0.0,1.3,375.0
Protein Granola Honey and Seeds,Harvest Morn,d,United Kingdom,17.4,5.6,0.63,2.7,448.0
Muesli avoine chocolat,Bjorg,c,France,9.1,9.5,0.08,4.2,399.0
Low Sugar Grain-free granola,The Paleo Foods Co,d,en:gb,,,,,
Bitesize Wheat Shreds,Harvest Morn,a,United Kingdom,0.7,12.5,0.01,0.5,367.0
Muesli Noix,SIMPLEMENT BON ET BIO,unknown,en:fr,17.0,9.5,0.3925,,438.0
Muesli coustillant,Crownfield,d,France,21.9,7.7,0.65,6.5,451.0
Corn flakes sans sucres ajoutés,Terres et Céréales bio,b,Belgique,0.5,3.1,0.01,0.1,387.0
Céréales croc'choc,Lucien Georgelin,d,France,32.0,4.5,0.36,5.0,437.0
High Fibre Bran. Tesco.,Tesco,a,France,13.6,22.1,0.5,0.8,350.0
Luscious Berry & Cherry Muesli,Dorset cereals,a,United Kingdom,17.5,9.2,0.075,0.8,363.0
Harvest Morn Corn Flakes,Aldi,c,United Kingdom,6.3,1.8,0.56,0.2,388.0
"Flocons d'avoine, paquet 500g",U,a,en:fr,1.2,11.0,0.01,0.6,364.0
Muesli croustillant Noix et Miel,Crownfield,c,Frankrijk,16.1290322580645,8.06451612903226,0.32258064516129,2.41935483870968,483.870967741935
Fruit & nut muesli,Caterers pride,c,France,22.4,7.6,0.02,2.4,366.0
NESTLE LION Céréales caramel chocolat BIO 400g,Nestlé,c,Belgique,25.0,8.0,0.48,1.2,409.0
Corn Flakes,Crownfield,c,Croatia,6.4,2.6,0.9825,0.4,383.0
Sante gold granola,sante,c,Kuwait,15.0,6.3,0.44,2.7000000476837,469.0
Croustillant tout chocolat,Carrefour BIO,d,Francia,20.0,8.4,0.02,6.1,447.0
Crunchy High Protein Muesli Frutos Secos / Frutos de Casca Rija,Crownfield,unknown,Bulgária,12.6,8.5,,4.6,429.0
Premium Tropical Muesli,Crownfield,c,France,28.0,6.2,0.03,1.8,351.0
Muesli floconneux 25% de fruits et noix,U,a,France,16.0,9.0,0.01,0.8,352.0
Original Avena y Trigo Integral,Nestlé,c,Portugal,10.8,7.6,0.9,0.6,368.0
Corn flakes,Bio Village,c,France,1.9,3.4,0.85,0.2,384.0822179127
Kellogs Just Right 500g,Kellogg's,d,France,23.0,4.5,0.95625,0.25,370.0
LOW FAT SPECIAL FLAKES RICE & WHOLEWHEAT,TESCO,c,France,13.6666666666667,4.66666666666667,0.325,0.333333333333333,373.333333333333
Grainéa Muesli pépites croustillantes chocolat noir,Marque Repère,c,France,22.0,8.3,0.13,4.1,446.0
Corn flakes,Carrefour BIO,c,Belgium,2.0,2.7,0.45,0.2,384.0
"Céréales Muesli chocolat & amandes, 400g",U,a,Frankrijk,6.8,8.5,0.01,2.8,449.0
Flocons d'avoine,Auchan,a,France,0.7,10.0,0.02,1.3,372.0
All-bran choco,Kellogg's,c,France,19.0,10.0,0.05,4.5,392.0
Chocapic,Nestlé,c,España,22.4,7.5,0.22,2.0,388.0
Cereales con achicoria,Hacendado,unknown,Spain,16.0,9.2,0.16,0.0,357.0
Multigrain Hoops,Sainsbury's,b,United Kingdom,15.6,9.4,0.42,0.2,382.0
Oats,Mornflake,a,United Kingdom,1.0,11.5,0.025,1.25,367.5
Gold corn flakes miel,,d,Algeria,29.9,4.6,0.84,0.3,378.0
Flocons d'avoine - Grainéa,Marque Repère,a,France,0.7,10.0,0.01,1.0,372.0
Red Fruit Benefit,Harvest Morn,c,Ireland,17.4,6.2,0.2,0.4,377.0
Special flakes nature,Crownfield,b,France,11.6,7.5,0.5,0.5,373.0
Granola Triple Nut,Jordan’s,b,en:united-kingdom,9.5,18.0,0.03,3.7,440.0
Grainéa,Marque Repère,c,en:fr,13.0,5.5,0.76,0.5,381.0
Scottish Porridge Oats,Crownfield,a,en:United Kingdom,0.8,6.7,7.5e-05,1.5,386.0
Cheerios,General Mills,c,Mexico,5.12820512820513,10.2564102564103,1.21794871794872,1.28205128205128,358.974358974359
Granola,Sainsbury's,c,France,20.1,6.3,0.03,3.1,416.0
Grape-Nuts,Post,c,Panama,8.62068965517241,12.0689655172414,1.16379310344828,0.0,344.827586206897
Krounchy chocolat,Grillon d'or,c,France,18.0,7.2,0.01,2.4,442.0
Céréales Trésor Kellogg's Chocolat Lait - 1kg,Kellogg's,e,Belgique,29.0,3.2,0.95,4.8,441.0
organic fruits & seeds muesli,alara,b,France,15.0,10.0,0.03,1.3,407.0
Maxi croust,,e,en:ma,,,,,
Swiss style muesli,Alpen,d,en:gb,21.1111,,0.288889,0.8889,373.3333
Coco Pop’s Chocos,Kellogg's,c,France,22.0,6.0,0.00166666666666667,1.0,380.0
Weetabix,Nestlé,a,Italy,4.4,10.0,0.275,0.6,362.0
Nutty Muesli,By Sainsbury's,b,United Kingdom,15.7,7.7,0.1,2.4,392.0
Multi fit granola with mixed nuts,Sante,c,Belgium,17.0,3.0,0.025,1.9,419.0
Country crisp miel & noix,Jordans,c,France,21.8,5.5,0.03,2.0,455.0
Apple & Cinnamon Gut-Loving Porridge,Bio & Me,a,United Kingdom,7.3,10.0,0.05,2.3,422.0
Haferflocken,Ja,a,Deutschland,0.8,9.7,0.01,1.1,371.0
Cashew & Almond Gluten-Free Granola,Bio & Me,a,United Kingdom,9.7,15.0,0.03,1.9,391.0
Muesli Crunchy Chocolat Noir Noisettes Grillées,Lidl,e,France,16.3,8.0,10.0,4.9,456.0
Crunchy Chocolat noir intense,Carrefour,c,Belgique,19.0,9.0,0.1,3.8,441.0
Kelly's Fitness Club crunchy muesli with dried fruit,Kelly's,d,en:france,18.7,,1.0,4.6,399.0
Мюсли с лешници,Crownfield,b,Bulgaria,18.0,11.6,0.0,0.0,471.797323135755
Céréales Muesli croustillant fruits rouges sachet 350g,U,c,France,21.0,7.9,0.15,1.3,385.0
Oats & Plenty Super Seedy & Nutty Porridge,Bio&Me,c,United Kingdom,8.6,10.1,0.03,4.2,426.0
Bio country crisp,Jordans,c,France,19.0,6.0,0.03,1.9,447.0
Grano high fibre seeded,Marks & Spencer,a,United Kingdom,5.8,9.0,0.03,1.5,440.0
Choco Pops Cereals,Kellogg's,c,United Kingdom,22.0,6.0,0.67,1.0,380.0
Tchico xxl,,d,en:ma,27.0,5.0,1.4,0.0,427.0
Low Sugar Maple & Pecan Granola imp,Lizi's,a,United States,2.4,9.2,0.3,3.1,478.0
Pumpkin Seed + Flax Granola,Nature's Path Organic,c,France,18.1818181818182,7.27272727272727,0.204545454545455,2.72727272727273,472.727272727273
Traube-Nuss Müsli 68% Vollkorn,Crownfield,a,Hrvatska,11.2,10.8,0.07,2.7,375.0
Muesli Croccante,Crownfield,c,France,,,,,
Pecan & Almond Grain-Free Granola,The Paleo Foods Co.,e,en:gb,9.4,,0.0001,20.8,634.0
Muesli,Leclerc,c,France,24.0,7.5,0.125,3.9,439.0
Schoko Müsli,Crownfield,d,Germany,14.8,8.6,0.7,5.2,414.0
Granola au chocolat et framboises,One Day More,a,Francia,10.1,10.2,0.0,2.2,410.0
HERITAGE FLAKES,Nature's Path Organic,c,France,12.5,17.5,1.0625,0.0,400.0
Crunchy muesli,Crownfield,d,France,17.7,6.9,0.63,2.9,450.0
Muesli bio croustillant 3 chocolats,Charles Vignon,c,Frankreich,18.0,8.1,0.02,5.5,474.0
Flocons d'avoine complets,Terres & Céréales Bio,a,France,1.0,10.0,0.01,1.3,371.0
Céréales Trésor Kellogg's Chocolat Noisettes,Kellogg's,e,France,26.0,3.5,1.1,3.5,437.0
Apple & Cinnamon Granola,Bio & Me,a,United Kingdom,9.5,14.6666666666667,0.0333333333333333,2.0,398.333333333333
Honey & Almond Granola,Tesco,b,en:gb,15.60000038147,6.5,0.1,1.5,427.0
High Protein Porridge Chocolate,Crownfield,a,Bulgaria,,,,,
Corn Flakes,Asda,c,en:gb,6.1,2.5,0.59,0.3,387.0
Strawberry Granola,Sainsbury’s,c,Royaume-Uni,17.7,7.4,7.5e-05,1.8,417.0
Choco Shells,Crownfield,c,Bélgica,22.4,8.3,0.29,1.1,377.0
Céréales Muesli croustillant aux 4 noix paquet de 500g,U,c,Frankrijk,14.0,6.5,0.48,2.9,478.0
Granola Miele,Nestlé,c,Bélgica,17.9,7.1,0.2175,1.7,429.9713192439
"DolcesenzaFrumento, Avena e Riso",Misura,a,France,2.5,6.5,0.9,0.7,363.0
Fruit and nut muesli,Waitrose,c,United Kingdom,19.1,8.6,0.03,3.7,387.0
